Place,Time,Latitude,Longitude,Magnitude,Depth
"Karbi Anglong, Assam",2024-03-03 00:31:37 IST,26.48, 93.40,3.3,25km
"Cachar, Assam",2024-03-02 23:51:08 IST,24.98, 93.07,2.5,5km
"Tehri Garhwal, Uttarakhand",2024-03-02 07:01:03 IST,30.79, 78.95,2.5,24km
"Chamoli, Uttarakhand",2024-03-02 05:21:03 IST,30.59, 79.52,1.0,4km
"Tehri Garhwal, Uttarakhand",2024-03-02 01:15:21 IST,30.52, 78.53,2.5,5km
"Northern Sumatra, Indonesia",2024-03-02 00:09:27 IST,1.02, 98.31,4.3,10km
Myanmar,2024-03-01 15:19:50 IST,23.13, 94.19,3.7,144km
"Sonitpur, Assam",2024-03-01 11:31:26 IST,26.88, 92.62,2.8,5km
"Mangan, Sikkim",2024-03-01 07:58:36 IST,27.58, 88.62,2.5,5km
"North Sumatra, Indonesia",2024-03-01 07:31:00 IST,1.22, 99.21,4.3,150km
Arabian Sea,2024-03-01 05:14:14 IST,23.11, 63.48,3.9,10km
"Karbi Anglong ,Assam",2024-03-01 02:09:51 IST,26.20, 93.07,2.6,29km
Myanmar,2024-02-29 22:49:18 IST,21.52, 94.92,3.6,9km
Bay of Bengal,2024-02-29 11:23:26 IST,8.04, 89.65,4.2,90km
"Karimganj, Assam",2024-02-29 08:51:18 IST,24.61, 92.30,3.2,30km
"Kargil, Ladakh",2024-02-29 03:57:35 IST,33.35, 76.70,2.9,5km
Myanmar,2024-02-29 03:13:34 IST,24.04, 95.73,3.1,185km
Carlsberg Ridge,2024-02-28 15:30:54 IST,6.17, 60.04,4.4,10km
"Northern Sumatra, Indonesia",2024-02-28 07:58:11 IST,1.17, 98.74,4.5,70km
Afghanistan,2024-02-28 05:11:05 IST,36.38, 71.65,4.3,125km
"Sabarkantha, Gujarat",2024-02-27 23:06:06 IST,23.85, 72.83,2.9,10km
Myanmar,2024-02-27 22:16:35 IST,20.35, 94.56,3.9,140km
Ladakh,2024-02-27 21:15:06 IST,34.64, 77.70,3.3,5km
